Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
Up! Cabriolet,98.5,160.0,12.4,1
T-Roc Cabriolet,132.5,205.0,9.6,1
Passat CC,240.0,240.0,7.3,0
Transporter,153.0,180.0,12.2,1
Amarok V6,231.0,191.0,7.9,0
Polo TDI,90.0,190.0,9.9,1
Golf GTE,204.0,222.0,7.6,0
Touareg V8,421.0,250.0,4.9,0
Beetle Dune,150.0,200.0,7.5,0
Passat B8,215.0,210.0,8.7,0
ID.4 Pro S,201.0,180.0,7.8,0
Golf Cabriolet,157.5,217.0,8.4,0
Golf Country,98.0,165.0,12.0,1
Jetta GLI,228.0,250.0,6.5,0
Arteon Shooting Brake,235.0,250.0,5.6,0
T-Cross R-Line,132.5,200.0,8.5,0
Golf R32,240.0,250.0,6.2,0
Passat B7,180.0,220.0,8.5,0
Scirocco 16V,137.0,220.0,7.1,0
Polo BlueMotion,85.0,190.0,10.5,1
Golf Variant GTD,184.0,230.0,7.5,0
Polo GTI R5,272.0,200.0,4.1,0
ID. Buzz Pro,204.0,145.0,10.2,1
Jetta Hybrid,170.0,210.0,8.6,0
Golf Variant Alltrack,175.0,220.0,7.8,0
Volkswagen XL1,68.0,160.0,11.9,1
Golf TDI,167.0,220.0,8.0,0
Passat Variant,195.0,220.0,8.5,0
Polo GTI Clubsport,300.0,240.0,6.7,0
Jetta Hybrid,170.0,210.0,8.6,0
ID.3 GTX,299.0,180.0,6.2,0
Arteon R-Line,235.0,250.0,5.6,0
Golf TGI,130.0,220.0,8.8,0
Scirocco GTS,220.0,246.0,6.5,0
Caddy Maxi,136.0,180.0,12.0,1
Volkswagen Lupo 3L,61.0,165.0,14.5,1
Polo Beats,95.0,187.0,9.5,1
Passat Hybrid,215.0,210.0,7.4,0
Golf TCR,290.0,250.0,5.6,0
Tiguan R-Line,210.0,250.0,4.9,0
Sharan Business,167.0,200.0,8.3,0
ID. Buzz Cargo Pro,204.0,145.0,10.2,1
Arteon 280 TSI,280.0,250.0,5.6,0
Jetta GLI 35th,228.0,250.0,6.5,0
Beetle Final Edition,174.0,205.0,7.0,0
Golf Variant TDI,167.0,220.0,7.8,0
Golf 4MOTION,167.0,250.0,4.9,0
Jetta SportWagen,148.5,200.0,8.5,0
Polo GTI Plus,207.0,237.0,6.7,0
Touareg V6,285.5,235.0,7.5,0
Tiguan eHybrid,245.0,200.0,7.5,0
Up! e-up!,83.0,130.0,11.9,1
Amarok V8,325.0,210.0,7.4,0
