myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2013,petrol,manual,60084.0,hatchback,white,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,346000.0
2018,petrol,manual,35784.0,hatchback,silver,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,719000.0
2015,petrol,automatic,75538.0,sedan,red,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,4 speed,fwd,power,second,karnataka,bangalore,652000.0
2020,petrol,manual,13416.0,suv,blue,k15b smart hybrid,4.0,4300.0,1785.0,1595.0,5.0,5 speed,fwd,,first,karnataka,bangalore,1139000.0
2012,petrol,manual,30352.0,hatchback,black,in-line engine,3.0,3495.0,1475.0,1460.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,280000.0
2014,petrol,automatic,82257.0,sedan,grey,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,4 speed,fwd,power,second,karnataka,bangalore,591000.0
2016,petrol,manual,67231.0,hatchback,black,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,,power,first,karnataka,bangalore,645000.0
2018,petrol,manual,92747.0,hatchback,black,f8d petrol engine,3.0,3430.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,299000.0
2012,petrol,manual,30282.0,hatchback,white,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,496000.0
2018,petrol,automatic,75693.0,hatchback,white,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,cvt,fwd,power,second,karnataka,bangalore,744000.0
2010,petrol,manual,92022.0,hatchback,maroon,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,275000.0
2015,petrol,automatic,63249.0,hatchback,maroon,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,426000.0
2015,petrol,automatic,39506.0,hatchback,silver,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,474000.0
2022,petrol,automatic,8855.0,hatchback,white,k12n,4.0,3655.0,1620.0,1675.0,5.0,,,power,second,karnataka,bangalore,776000.0
2020,petrol,manual,68587.0,sedan,silver,k15 smart hybrid petrol engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,963000.0
2015,petrol,manual,39674.0,hatchback,silver,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,573000.0
2015,petrol,manual,33365.0,hatchback,black,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,552000.0
2010,petrol,manual,51638.0,hatchback,maroon,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,250000.0
2013,petrol,manual,74090.0,hatchback,violet,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,383000.0
2014,petrol,manual,63888.0,hatchback,white,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,556000.0
2016,petrol,automatic,40003.0,hatchback,white,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,516000.0
2019,petrol,manual,9036.0,hatchback,grey,k10c,3.0,3565.0,1520.0,1567.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,480000.0
2014,petrol,manual,57024.0,hatchback,silver,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,433000.0
2017,petrol,manual,32742.0,hatchback,silver,k series vvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,630500.0
2015,petrol,manual,50234.0,hatchback,blue,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,479000.0
2016,petrol,manual,26685.0,hatchback,black,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,308000.0
2017,petrol,manual,33670.0,hatchback,grey,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,584000.0
2012,petrol,manual,71874.0,hatchback,grey,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,329000.0
2016,petrol,manual,63496.0,hatchback,white,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,298000.0
2011,petrol,manual,72850.0,hatchback,red,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,306000.0
2021,petrol,manual,46693.0,muv,white,k15b smart hybrid,4.0,4445.0,1775.0,1700.0,6.0,5 speed,fwd,power,first,karnataka,bangalore,1154000.0
2016,petrol,manual,72616.0,sedan,grey,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,674000.0
2010,petrol,manual,44215.0,hatchback,red,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,337000.0
2020,petrol,manual,17002.0,sedan,red,,4.0,3995.0,1735.0,1515.0,5.0,5 speed,,power,first,karnataka,bangalore,678000.0
2018,petrol,automatic,35814.0,hatchback,red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,699000.0
2021,petrol,automatic,11473.0,hatchback,white,vvt,4.0,3700.0,1690.0,1595.0,5.0,5 speed,,power,first,karnataka,bangalore,842000.0
2015,petrol,automatic,46482.0,hatchback,grey,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,415000.0
2012,petrol,manual,33773.0,hatchback,white,k series petrol engine,3.0,3620.0,1475.0,1460.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,282000.0
2018,petrol,manual,38804.0,hatchback,red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,706000.0
2014,petrol,manual,32942.0,hatchback,grey,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,552000.0
2020,petrol,manual,36385.0,hatchback,white,f8d petrol engine,3.0,3445.0,1515.0,1475.0,5.0,5 speed,,,first,karnataka,bangalore,385000.0
2014,petrol,manual,51535.0,hatchback,grey,k series petrol engine,3.0,3545.0,1515.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,325000.0
2016,petrol,manual,50194.0,hatchback,white,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,324000.0
2020,petrol,manual,39155.0,hatchback,grey,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,520000.0
2014,petrol,manual,37603.0,hatchback,red,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,390000.0
2013,petrol,manual,44538.0,hatchback,silver,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,376000.0
2018,petrol,manual,30269.0,hatchback,white,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,671000.0
2020,petrol,manual,7436.0,hatchback,black,k10c,3.0,3565.0,1520.0,1567.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,523000.0
2021,petrol,manual,19839.0,hatchback,silver,f8d petrol engine,3.0,3445.0,1515.0,1475.0,5.0,5 speed,,,first,karnataka,bangalore,399000.0
2017,petrol,manual,39252.0,sedan,blue,k series vvt engine,4.0,3995.0,1735.0,1515.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,679000.0
2011,petrol,manual,67946.0,hatchback,white,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,500000.0
2016,petrol,manual,60125.0,sedan,grey,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,632000.0
2015,petrol,manual,68004.0,sedan,brown,k14b petrol engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,633000.0
2019,petrol,automatic,26567.0,hatchback,blue,1.2l vvt engine,4.0,3995.0,1745.0,1510.0,5.0,cvt,fwd,power,first,karnataka,bangalore,830000.0
2017,petrol,manual,32336.0,hatchback,white,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,481000.0
2018,petrol,manual,96358.0,hatchback,white,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,616000.0
2021,petrol,manual,17896.0,hatchback,black,f8d petrol engine,3.0,3445.0,1515.0,1475.0,5.0,5 speed,,,first,karnataka,bangalore,441000.0
2012,petrol,manual,62963.0,hatchback,silver,k series petrol engine,3.0,3620.0,1475.0,1460.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,282500.0
2018,petrol,automatic,25796.0,hatchback,blue,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,,power,first,karnataka,bangalore,713000.0
2010,petrol,manual,75030.0,hatchback,blue,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,323000.0
2013,petrol,manual,84665.0,sedan,blue,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,517000.0
2017,petrol,automatic,77071.0,hatchback,grey,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,509000.0
2018,petrol,manual,34246.0,hatchback,red,boosterjet petrol engine,3.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,728000.0
2020,petrol,manual,20761.0,hatchback,white,k10c,3.0,3565.0,1520.0,1567.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,476000.0
2015,petrol,manual,33280.0,hatchback,blue,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,427000.0
2015,petrol,manual,73575.0,hatchback,grey,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,383000.0
2018,petrol,manual,45466.0,hatchback,silver,k10b petrol engine,3.0,3636.0,1475.0,1670.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,513009.0
2012,petrol,manual,32487.0,sedan,silver,in-line engine,4.0,4160.0,1690.0,1530.0,5.0,5 speed,2wd,power,first,karnataka,bangalore,542000.0
2021,petrol,automatic,18953.0,hatchback,silver,1.2l vvt engine,4.0,3995.0,1745.0,1510.0,5.0,cvt,fwd,power,first,karnataka,bangalore,999000.0
2016,petrol,manual,94867.0,sedan,brown,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,641000.0
2011,petrol,manual,84092.0,hatchback,grey,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,374279.0
2010,petrol,manual,36592.0,hatchback,red,in-line engine,3.0,3495.0,1475.0,1460.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,250000.0
2014,petrol,manual,90000.0,sedan,grey,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,495000.0
2009,petrol,manual,55000.0,hatchback,golden,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,245000.0
2017,petrol,manual,16829.0,hatchback,glistening grey,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,500000.0
2012,petrol,manual,67551.0,hatchback,silky silver,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,third,karnataka,bangalore,200000.0
2001,petrol,manual,47105.0,hatchback,brown,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,third,karnataka,bangalore,136193.0
2010,petrol,manual,65629.0,hatchback,fire brick red,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,300000.0
2015,petrol,manual,46800.0,hatchback,grey,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,605000.0
2017,petrol,manual,29396.0,hatchback,black,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,639000.0
2021,petrol,manual,5182.0,suv,blue,k15b smart hybrid,4.0,4300.0,1785.0,1595.0,5.0,5 speed,fwd,,first,karnataka,bangalore,1000000.0
2016,petrol,manual,33224.0,hatchback,white,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,293000.0
2011,petrol,manual,41281.0,sedan,white,in-line engine,4.0,4160.0,1690.0,1530.0,5.0,5 speed,2wd,power,first,karnataka,bangalore,371000.0
2010,petrol,manual,79028.0,hatchback,met ecru,k series petrol engine,3.0,3600.0,1475.0,1595.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,267000.0
2014,petrol,manual,54745.0,sedan,silver,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,624000.0
2013,petrol,manual,75447.0,sedan,grey,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,450000.0
2018,petrol,manual,84262.0,sedan,black,k15b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,888000.0
2019,petrol,manual,60510.0,hatchback,white,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,759000.0
2016,petrol,manual,10909.0,hatchback,white,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,507000.0
2018,petrol,manual,29216.0,hatchback,red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,695000.0
2018,petrol,manual,76215.0,sedan,blue,k series vvt engine,4.0,3995.0,1735.0,1515.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,702000.0
2018,petrol,manual,17955.0,sedan,blue,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,918000.0
2017,petrol,manual,56723.0,hatchback,silver,k series petrol engine,3.0,3545.0,1515.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,379000.0
2012,petrol,manual,85985.0,hatchback,grey,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,308000.0
2013,petrol,manual,15057.0,hatchback,grey,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,391000.0
2017,petrol,automatic,30929.0,hatchback,black,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,524000.0
2016,petrol,manual,21891.0,hatchback,yellow,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,328000.0
2014,petrol,manual,32603.0,hatchback,red,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,441000.0
2016,petrol,automatic,62974.0,hatchback,black,k series petrol engine,3.0,3545.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,421000.0
2013,petrol,manual,31639.0,hatchback,silver,k series petrol engine,4.0,3850.0,1695.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,512000.0
2010,petrol,manual,26924.0,hatchback,black,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,346000.0
2016,petrol,manual,79821.0,hatchback,blue,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,480000.0
2014,petrol,automatic,85000.0,hatchback,grey,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,385000.0
2008,petrol,manual,66254.0,hatchback,red,fc petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,250000.0
2017,petrol,automatic,11999.0,sedan,gallant red,k series vvt engine,4.0,3995.0,1735.0,1515.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,700000.0
2004,petrol,manual,77597.0,hatchback,red,in-line engine,4.0,3535.0,1495.0,1405.0,5.0,5 speed,,power,third,karnataka,bangalore,150000.0
2021,petrol,manual,57407.0,hatchback,solid fire red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,675000.0
2018,petrol,manual,28201.0,hatchback,grey,k10b engine,3.0,3695.0,1600.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,490000.0
2014,petrol,manual,54136.0,hatchback,me beige,k series petrol engine,3.0,3620.0,1475.0,1460.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,309519.0
2012,petrol,manual,28167.0,suv,superior white,g13bb mpfi gasoline engin,4.0,4010.0,1540.0,1845.0,8.0,5 speed,4wd,manual,first,karnataka,bangalore,597734.0
2016,petrol,manual,90000.0,hatchback,silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,465000.0
2016,petrol,automatic,84000.0,hatchback,silver,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,430000.0
2017,petrol,manual,44885.0,hatchback,white,k series petrol engine,3.0,3545.0,1515.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,424000.0
2017,petrol,automatic,51320.0,hatchback,red,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,497000.0
2015,petrol,automatic,93915.0,hatchback,red,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,407000.0
2017,petrol,automatic,20584.0,hatchback,blue,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,535000.0
2016,petrol,manual,30490.0,hatchback,red,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,652000.0
2016,petrol,automatic,60314.0,hatchback,black,k series petrol engine,3.0,3545.0,1515.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,403000.0
2010,petrol,manual,47476.0,hatchback,silver,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,355000.0
2015,petrol,manual,67180.0,hatchback,grey,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,438000.0
2016,petrol,manual,46639.0,sedan,metallic silky silver,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,653668.0
2015,petrol,manual,25049.0,hatchback,breeze blue,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,450000.0
2015,petrol,manual,87478.0,hatchback,white,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,535000.0
2020,petrol,manual,8675.0,hatchback,red,1.2l vvt engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,740000.0
2013,petrol,manual,43804.0,hatchback,new mystique red,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,400000.0
2017,petrol,manual,44063.0,hatchback,grey,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,455000.0
2014,petrol,automatic,37943.0,hatchback,silver,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,427000.0
2011,petrol,manual,37609.0,hatchback,brown,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,334000.0
2015,petrol,manual,63093.0,hatchback,brown,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,419000.0
2014,petrol,manual,50711.0,hatchback,blue,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,,power,second,karnataka,bangalore,551000.0
2010,petrol,manual,32733.0,sedan,silver,in-line engine,4.0,4160.0,1690.0,1530.0,5.0,5 speed,2wd,power,first,karnataka,bangalore,353000.0
2021,petrol,automatic,4783.0,hatchback,white,vvt,4.0,3700.0,1690.0,1595.0,5.0,5 speed,,power,first,karnataka,bangalore,858000.0
2017,petrol,automatic,15827.0,hatchback,silver,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,cvt,fwd,power,second,karnataka,bangalore,712000.0
2017,petrol,manual,83272.0,hatchback,grey,k10b petrol engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,443000.0
2019,petrol,manual,19814.0,hatchback,silver,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,695000.0
2017,petrol,manual,28491.0,hatchback,white,k series petrol engine,3.0,3545.0,1515.0,1475.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,403000.0
2021,petrol,automatic,18872.0,hatchback,brown,1.2l vvt engine,4.0,3995.0,1745.0,1510.0,5.0,cvt,fwd,power,first,karnataka,bangalore,933000.0
2014,petrol,manual,80540.0,muv,black,k series petrol engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,karnataka,bangalore,682000.0
2017,petrol,automatic,44691.0,hatchback,blue,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,478000.0
2018,petrol,automatic,42564.0,sedan,grey,k series vvt engine,4.0,3995.0,1735.0,1515.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,734000.0
2015,petrol,manual,43672.0,sedan,white,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,625000.0
2012,petrol,manual,45149.0,sedan,silver,in-line engine,4.0,4160.0,1690.0,1530.0,5.0,5 speed,2wd,power,second,karnataka,bangalore,482000.0
2011,petrol,manual,74424.0,hatchback,maroon,k series petrol engine,4.0,3775.0,1680.0,1620.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,376000.0
2019,petrol,manual,25230.0,hatchback,pearl phoenix red,1.2l vvt engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,750000.0
2009,petrol,manual,92383.0,sedan,metallic midnight black,in-line engine,4.0,4160.0,1690.0,1530.0,5.0,5 speed,2wd,power,second,karnataka,bangalore,400000.0
2017,petrol,manual,53385.0,sedan,blue,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,800000.0
2017,petrol,manual,16530.0,hatchback,blue,vvt petrol engine,4.0,3995.0,1745.0,1510.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,600000.0
2006,petrol,manual,83707.0,hatchback,silver,in-line engine,4.0,3760.0,1690.0,1530.0,5.0,5 speed,,power,third,karnataka,bangalore,250000.0
2019,petrol,manual,16038.0,sedan,blue,k15b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,1000000.0
2019,petrol,manual,61407.0,hatchback,white,f8d petrol engine,3.0,3445.0,1515.0,1475.0,5.0,5 speed,,,first,karnataka,bangalore,320000.0
2011,petrol,manual,51531.0,hatchback,white,in-line engine,4.0,3760.0,1690.0,1530.0,5.0,5 speed,,power,first,karnataka,bangalore,370000.0
2016,petrol,manual,37861.0,hatchback,granite grey,f8d petrol engine,3.0,3430.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,280000.0
2017,petrol,manual,51171.0,sedan,brown,k14b vvt engine,4.0,4490.0,1730.0,1485.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,820000.0
2006,petrol,manual,109185.0,hatchback,blue,"1.1l, 4-cyl, f10d petrol",4.0,,,,5.0,5 speed,2wd,power,third,karnataka,bangalore,150000.0
2017,petrol,manual,35629.0,sedan,white,k series vvt engine,4.0,3995.0,1735.0,1515.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,700000.0
2009,petrol,manual,84994.0,hatchback,fire brick red,fc petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,1600000.0
2014,petrol,manual,53387.0,hatchback,silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,second,karnataka,bangalore,395000.0
2018,petrol,automatic,35021.0,hatchback,red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,,power,second,karnataka,bangalore,675000.0
2019,petrol,manual,45840.0,hatchback,solid fire red,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,550000.0
2016,petrol,automatic,78756.0,hatchback,white,k10b engine,3.0,3715.0,1635.0,1565.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,400000.0
2015,petrol,manual,28967.0,hatchback,grey,f8d petrol engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,298143.0
2015,petrol,manual,118636.0,sedan,magma grey,k series vvt engine,4.0,3995.0,1695.0,1555.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,550000.0
2017,petrol,manual,61887.0,hatchback,red,f8d petrol engine,3.0,3430.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,350000.0
2007,petrol,manual,75508.0,hatchback,black,in-line engine,4.0,3760.0,1690.0,1530.0,5.0,5 speed,,power,second,karnataka,bangalore,300000.0
2022,petrol,manual,5424.0,hatchback,grey,k10c,3.0,3565.0,1520.0,1567.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,450000.0
2010,petrol,manual,85088.0,hatchback,bakers chocolate,k series petrol engine,3.0,3595.0,1495.0,1700.0,5.0,5 speed,fwd,power,third,karnataka,bangalore,300000.0
2007,petrol,manual,145512.0,hatchback,solid bright red,in-line engine,4.0,3760.0,1690.0,1530.0,5.0,5 speed,,power,second,karnataka,bangalore,209298.0
2019,petrol,manual,7656.0,hatchback,magma grey,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,700000.0
2022,petrol,manual,16949.0,muv,white,k15b smart hybrid,4.0,4445.0,1775.0,1700.0,6.0,5 speed,fwd,power,first,karnataka,bangalore,1100000.0
2016,petrol,manual,78000.0,hatchback,white,vtvt engine,4.0,3840.0,1735.0,1530.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,610000.0
2009,petrol,manual,112246.0,hatchback,red,in-line engine,4.0,3760.0,1690.0,1530.0,5.0,5 speed,,power,fourth,karnataka,bangalore,250000.0
