symbol,date,open,high,low,close,network,close_next,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_mean_60,roll_std_60,ret_1,ret_7
BTCUSDT,2025-02-07,96554.35,100137.99,95620.34,96506.8,Bitcoin,96444.74,96554.35,96612.43,97763.13,97700.59,102429.56,104870.5,98157.35285714285,2010.1007965495078,100254.476,3906.766452711184,99197.73333333334,3857.9884560152977,-0.0004924687494659574,-0.057822761320072025
BTCUSDT,2025-02-08,96506.8,96880.0,95688.0,96444.74,Bitcoin,96462.75,96506.8,96554.35,96612.43,101328.52,100635.65,104746.85,97558.65142857144,1757.1289812207815,100384.21766666668,3701.399606711113,99195.26233333333,3859.7321213872237,-0.0006430634939713631,-0.0416443874511665
BTCUSDT,2025-02-09,96444.75,97323.09,94713.0,96462.75,Bitcoin,97430.82,96444.74,96506.8,96554.35,97763.13,97700.59,102620.0,97381.81714285714,1802.1734272230296,100442.10566666667,3622.599600425443,99117.55816666667,3867.1472664008375,0.00018673905907151678,-0.01266972901596597
BTCUSDT,2025-02-10,96462.75,98345.0,95256.0,97430.82,Bitcoin,95778.2,96462.75,96444.74,96506.8,96612.43,101328.52,102082.83,96825.00285714286,538.9213249216815,100536.46666666666,3499.9705123832,99074.667,3871.414719715627,0.010035687350816946,-0.03846597187050593
BTCUSDT,2025-02-11,97430.82,98478.42,94876.88,95778.2,Bitcoin,97869.99,97430.82,96462.75,96444.74,96554.35,97763.13,101335.52,96541.44142857143,482.2657057878891,100577.57133333334,3433.794895046055,98980.56616666667,3881.940193716649,-0.016961983897908373,-0.0203034620515935
BTCUSDT,2025-02-12,95778.21,98119.99,94088.23,97869.99,Bitcoin,96608.14,95778.2,97430.82,96462.75,96506.8,96612.43,103733.24,96721.09285714287,698.7561263573922,100688.70099999999,3282.128203472246,98921.39933333333,3871.1681317071007,0.021839938524633062,0.013016544558500431
BTCUSDT,2025-02-13,97870.0,98083.91,95217.36,96608.14,Bitcoin,97500.48,97869.99,95778.2,97430.82,96444.74,96554.35,104722.94,96728.77714285716,696.9101537658854,100690.277,3280.088481864637,98790.4685,3812.9416198590043,-0.0128931248485874,0.0005570955632758778
BTCUSDT,2025-02-14,96608.13,98826.0,96252.82,97500.48,Bitcoin,97569.66,96608.14,97869.99,95778.2,96462.75,96506.8,102429.56,96870.73142857142,743.7850146015504,100590.38133333334,3331.400465395516,98647.83216666666,3694.6816087795632,0.009236695789816451,0.010296476517716924
BTCUSDT,2025-02-15,97500.47,97972.26,97223.58,97569.66,Bitcoin,96118.12,97500.48,96608.14,97869.99,97430.82,96444.74,100635.65,97031.43428571429,757.7985088796036,100509.79333333335,3375.443062979138,98505.09749999999,3563.684313409204,0.0007095349684433927,0.011663881306538837
BTCUSDT,2025-02-16,97569.67,97704.47,96046.18,96118.12,Bitcoin,95780.0,97569.66,97500.48,96608.14,95778.2,96462.75,97700.59,96982.20142857144,810.2803556460279,100244.48133333334,3398.080355983376,98436.99933333333,3569.7030772817666,-0.014876960727340904,-0.0035726744261386223
BTCUSDT,2025-02-17,96118.12,97046.59,95205.0,95780.0,Bitcoin,95671.74,96118.12,97569.66,97500.48,97869.99,97430.82,101328.52,96746.37,893.8717228802133,99951.94033333335,3391.849068375894,98408.96833333334,3584.064608739684,-0.0035177550289164916,-0.01694350925097421
BTCUSDT,2025-02-18,95780.01,96753.91,93388.09,95671.74,Bitcoin,96644.37,95780.0,96118.12,97569.66,96608.14,95778.2,97763.13,96731.16142857143,913.773980558534,99763.27933333332,3468.993248894128,98373.40666666668,3600.7012561564243,-0.0011302986009604776,-0.0011115264225052268
BTCUSDT,2025-02-19,95671.74,96899.99,95029.99,96644.37,Bitcoin,98305.0,95671.74,95780.0,96118.12,97500.48,97869.99,96612.43,96556.07285714286,764.4069059660576,99576.09133333334,3481.1128900885356,98362.61299999998,3604.966062094719,0.01016632497746972,-0.01252293987155828
BTCUSDT,2025-02-20,96644.37,98711.36,96415.09,98305.0,Bitcoin,96181.98,96644.37,95671.74,95780.0,97569.66,96608.14,96554.35,96798.48142857142,1012.4729842054082,99314.79733333334,3258.192001064993,98414.59183333332,3580.794094960335,0.017182894357943512,0.017564358448470374
BTCUSDT,2025-02-21,98305.01,99475.0,94871.95,96181.98,Bitcoin,96551.01,98305.0,96644.37,95671.74,96118.12,97500.48,96506.8,96610.12428571428,982.3044662730824,99063.97466666668,3197.5063819518996,98436.267,3562.9365902391332,-0.02159625654849706,-0.013523010348256759
BTCUSDT,2025-02-22,96181.99,96980.0,95770.49,96551.01,Bitcoin,96258.0,96181.98,98305.0,96644.37,95780.0,97569.66,96444.74,96464.60285714285,887.3258228455763,98818.66366666666,3093.484669910786,98401.05750000001,3571.0812392937046,0.0038367893861199764,-0.010440233162645085
BTCUSDT,2025-02-23,96551.01,96650.0,95227.94,96258.0,Bitcoin,91552.88,96551.01,96181.98,98305.0,95671.74,96118.12,96462.75,96484.58571428571,879.7652966899824,98531.58033333332,2906.470456295363,98348.1975,3579.0629320869534,-0.003034768875022631,0.0014552927169195762
BTCUSDT,2025-02-24,96258.0,96500.0,91349.26,91552.88,Bitcoin,88680.4,96258.0,96551.01,96181.98,96644.37,95780.0,97430.82,95880.71142857142,2078.3227619274107,98091.78133333335,2931.690881922398,98277.55216666666,3671.03296828523,-0.04888030085811046,-0.04413363959072869
BTCUSDT,2025-02-25,91552.88,92540.69,86050.99,88680.4,Bitcoin,84250.09,91552.88,96258.0,96551.01,98305.0,95671.74,95778.2,94881.94857142857,3433.527775560492,97627.12800000001,3273.9398604749213,98183.90833333334,3841.925367480682,-0.0313750916410277,-0.07307633372195399
BTCUSDT,2025-02-26,88680.39,89414.15,82256.01,84250.09,Bitcoin,84708.58,88680.4,91552.88,96258.0,96181.98,96644.37,97869.99,93111.33714285714,5143.272490793635,97032.70333333334,3979.8346391768705,97999.74316666667,4227.958594602408,-0.04995816437454048,-0.12824627032076463
